data_name,pred_ee, exp_ee
IAW00000417,-0.6647,-0.8900
IAW00000418,-0.7963,-0.8500
IAW00000419,-0.7837,-0.7600
IAW00000420,-0.7837,-0.8400
IAW00000421,-0.7892,-0.8600
IAW00000422,-0.7837,-0.7690
IAW00000423,0.7500,0.9300
IAW00000424,0.8154,0.9300
IAW00000425,0.8207,0.9000
IAW00000426,0.8207,0.9200
IAW00000427,0.8207,0.9200
IAW00000428,0.8207,0.8700
IAW00000429,0.1294,0.8000
IAW00000430,-0.0120,0.0678
IAW00000431,-0.3756,0.2230
IAW00000432,-0.3924,0.3800
IAW00000429,0.1156,0.8200
IAW00000430,-0.0863,0.0064
IAW00000431,-0.1580,0.7750
IAW00000432,-0.1937,0.7930
IAW00000429,-0.1635,-0.3300
IAW00000430,-0.1683,-0.6241
IAW00000431,0.0415,-0.3270
IAW00000432,-0.0218,-0.1370
IAW00000429,0.0324,0.3460
IAW00000430,-0.1312,0.4830
IAW00000431,0.0851,0.6380
IAW00000432,0.0963,0.3960
